date,stock_name,open,high,low,close,daily_return,adj_close,volume
2020-07-08,Akbank,6.000,6.010,5.870,5.920,,4.754,160432786.000
2020-07-09,Akbank,5.940,5.940,5.760,5.800,-2.027,4.657,82758441.000
2020-07-10,Akbank,5.750,5.750,5.660,5.730,-1.207,4.601,75387123.000
2020-07-13,Akbank,5.800,5.870,5.760,5.850,2.094,4.698,99818836.000
2020-07-14,Akbank,5.840,5.860,5.780,5.790,-1.026,4.649,59054843.000
2020-07-16,Akbank,5.790,5.900,5.780,5.850,1.036,4.698,71262780.000
2020-07-17,Akbank,5.870,5.870,5.800,5.820,-0.513,4.674,52408960.000
2020-07-20,Akbank,5.810,5.840,5.790,5.810,-0.172,4.665,45063288.000
2020-07-21,Akbank,5.840,5.930,5.790,5.820,0.172,4.674,131889900.000
2020-07-22,Akbank,5.830,5.850,5.800,5.800,-0.344,4.657,61531634.000
2020-07-23,Akbank,5.830,5.860,5.790,5.810,0.172,4.665,48470850.000
2020-07-24,Akbank,5.780,5.790,5.750,5.770,-0.688,4.633,29863962.000
2020-07-27,Akbank,5.800,5.810,5.700,5.720,-0.867,4.593,43319180.000
2020-07-28,Akbank,5.720,5.720,5.490,5.500,-3.846,4.417,71564939.000
2020-07-29,Akbank,5.530,5.550,5.260,5.320,-3.273,4.272,105635722.000
2020-07-30,Akbank,5.310,5.340,5.210,5.240,-1.504,4.208,66184581.000
2020-08-04,Akbank,5.300,5.320,4.970,5.070,-3.244,4.071,145260925.000
2020-08-05,Akbank,5.090,5.110,4.990,5.020,-0.986,4.031,189993024.000
2020-08-06,Akbank,5.020,5.020,4.700,4.720,-5.976,3.790,238947444.000
2020-08-07,Akbank,4.700,4.770,4.530,4.760,0.847,3.822,190918249.000
2020-08-10,Akbank,4.720,4.790,4.680,4.750,-0.210,3.814,95633375.000
2020-08-11,Akbank,4.780,5.080,4.770,5.080,6.947,4.079,242007382.000
2020-08-12,Akbank,5.080,5.130,4.960,5.070,-0.197,4.071,182905027.000
2020-08-13,Akbank,5.070,5.110,4.990,5.020,-0.986,4.031,133654621.000
2020-08-14,Akbank,4.980,4.990,4.880,4.930,-1.793,3.959,88767239.000
2020-08-17,Akbank,4.920,5.040,4.890,5.000,1.420,4.015,86895141.000
2020-08-18,Akbank,5.000,5.100,4.980,5.040,0.800,4.047,106154782.000
2020-08-19,Akbank,5.070,5.160,5.050,5.160,2.381,4.144,139151894.000
2020-08-20,Akbank,5.140,5.140,5.050,5.090,-1.357,4.087,104882255.000
2020-08-21,Akbank,5.120,5.220,5.030,5.060,-0.589,4.063,210265025.000
2020-08-24,Akbank,5.080,5.090,5.000,5.000,-1.186,4.015,60999660.000
2020-08-25,Akbank,5.020,5.050,4.860,4.890,-2.200,3.927,81786609.000
2020-08-26,Akbank,4.880,5.000,4.850,4.960,1.431,3.983,92612259.000
2020-08-27,Akbank,5.010,5.060,4.990,5.030,1.411,4.039,65690717.000
